heap,collector,concurrency,reps_ok,p50_ms_mean,p99_ms_mean,p999_ms_mean,gc_attrib_pct_mean,gc_attrib_pct_min,gc_attrib_pct_max,gc_events_mean
1g,g1,100,3/3,20.130,65.323,127.553,.900,0.8,1.0,4.000
1g,g1,1000,3/3,20.066,65.456,138.546,4.133,4.1,4.2,15.000
1g,g1,2500,3/3,17.093,84.970,150.293,4.500,4.0,4.8,46.333
1g,g1,500,3/3,20.060,65.350,126.846,1.966,1.9,2.0,9.333
1g,shenandoah,100,3/3,20.153,65.283,128.660,0,0.0,0.0,0
1g,shenandoah,1000,3/3,20.050,65.410,142.660,1.100,1.0,1.2,7.000
1g,shenandoah,2500,3/3,17.853,83.880,147.000,9.100,8.9,9.4,40.000
1g,shenandoah,500,3/3,20.046,65.353,127.660,.733,0.7,0.8,5.000
1g,zgc,100,3/3,20.123,65.303,121.896,.666,0.5,0.8,2.000
1g,zgc,1000,3/3,20.056,65.340,127.566,3.200,2.6,3.8,7.333
1g,zgc,2500,3/3,18.146,83.976,152.276,11.900,11.7,12.0,41.333
1g,zgc,500,3/3,20.050,65.570,130.856,4.266,4.0,4.5,8.000
2g,g1,100,3/3,20.120,65.620,127.333,.233,0.1,0.3,2.000
2g,g1,1000,3/3,20.073,65.300,128.913,3.000,2.9,3.1,12.000
2g,g1,10000,3/3,96.276,352.383,875.066,10.766,7.7,14.6,26.666
2g,g1,2500,3/3,18.346,83.816,146.803,2.700,2.5,2.8,22.000
2g,g1,500,3/3,20.040,65.216,126.470,1.400,1.3,1.5,8.000
2g,g1,5000,3/3,38.676,143.866,244.366,9.933,7.2,11.9,46.333
2g,g1,7500,3/3,14.096,265.113,581.340,13.700,10.9,17.5,248.666
2g,shenandoah,100,3/3,20.156,65.410,127.873,0,0.0,0.0,0
2g,shenandoah,1000,3/3,20.056,65.283,126.176,.900,0.9,0.9,5.000
2g,shenandoah,10000,3/3,91.406,355.566,870.820,19.400,12.2,32.8,62.666
2g,shenandoah,2500,3/3,18.693,81.773,149.616,1.666,1.3,1.9,7.000
2g,shenandoah,500,3/3,20.063,65.543,133.363,.633,0.6,0.7,2.000
2g,shenandoah,5000,3/3,35.596,147.550,246.513,11.700,9.1,14.4,36.666
2g,shenandoah,7500,3/3,37.073,343.100,2157.113,34.633,26.2,39.3,120.000
2g,zgc,100,3/3,20.136,65.453,123.793,.166,0.1,0.2,1.000
2g,zgc,1000,3/3,20.060,65.320,126.870,3.000,2.9,3.2,5.000
2g,zgc,10000,2/3,97.005,444.885,806.065,49.750,49.3,50.2,70.000
2g,zgc,2500,3/3,17.950,83.646,157.936,2.900,2.6,3.5,6.333
2g,zgc,500,3/3,20.066,65.363,127.040,1.133,1.1,1.2,4.000
2g,zgc,5000,3/3,38.716,156.903,250.206,8.900,7.9,9.5,30.333
2g,zgc,7500,0,,,,,,,
512m,g1,100,3/3,20.130,65.233,125.833,.300,0.3,0.3,4.000
512m,g1,1000,3/3,20.073,65.396,128.046,5.300,5.2,5.4,29.000
512m,g1,500,3/3,20.046,65.476,130.736,2.933,2.9,3.0,13.000
512m,shenandoah,100,3/3,20.103,65.313,127.540,.433,0.3,0.6,2.000
512m,shenandoah,1000,3/3,20.053,65.330,127.180,6.400,6.3,6.5,20.666
512m,shenandoah,500,3/3,20.043,65.223,127.126,.866,0.8,0.9,7.000
512m,zgc,100,3/3,20.203,65.716,125.676,2.766,2.7,2.9,4.000
512m,zgc,1000,3/3,20.050,65.333,127.650,7.300,7.1,7.5,19.333
512m,zgc,500,3/3,20.040,65.450,141.306,2.400,2.0,2.8,8.000
